,Facet,Number of Appearances
0,espionage and intelligence services,5
1,united states politics and government,3
2,republican party,3
3,immigration and emigration,2
4,democratic party,2
5,sex crimes,2
6,central intelligence agency,2
7,missing persons,2
8,books and literature,2
9,justice department,2
10,roman catholic church,2
11,islamic state in iraq and syria (isis),2
12,wikileaks,2
13,special prosecutors (independent counsel),1
14,china communications construction co,1
15,midterm elections (2018),1
16,"trump tower (manhattan, ny)",1
17,"executive privilege, doctrine of",1
18,fox business network,1
19,congressional leadership fund,1
